33,4,15.785,1.2774e+006
34,1,346.54,1.7784e+005
34,2,113.22,4.0278e+005
34,3,47.121,5.9296e+005
34,4,18.42,1.3213e+006
35,1,347.09,1.7865e+005
35,2,113.07,4.025e+005
35,3,45.832,5.9377e+005
35,4,17.119,1.2865e+006
36,1,348,1.7928e+005
36,2,115.59,4.0163e+005
36,3,49.477,5.9538e+005
36,4,19.041,1.4032e+006
37,1,336.32,1.7967e+005
37,2,115.28,4.0258e+005
37,3,51.707,6.105e+005
37,4,20.589,1.5587e+006
38,1,357.69,1.7953e+005
38,2,127.29,4.0356e+005
38,3,58.944,6.1877e+005
38,4,22.009,1.7135e+006
39,1,354.13,1.8075e+005
39,2,130.34,4.0305e+005
39,3,62.787,6.4544e+005
39,4,23.618,2.0783e+006
40,1,365.63,1.8215e+005
40,2,159.12,4.079e+005
40,3,82.213,7.645e+005
40,4,27.664,2.8745e+006
41,1,404.47,1.9321e+005
41,2,198.53,4.4253e+005
41,3,109.29,9.9948e+005
41,4,32.341,4.8462e+006
42,1,438.01,1.9366e+005
42,2,223.84,4.8198e+005
42,3,119.66,1.1885e+006
42,4,32.97,5.2258e+006
43,1,401.48,1.8049e+005
43,2,208.68,4.4345e+005
43,3,112.3,1.1314e+006
43,4,31.663,5.087e+006
44,1,372.16,1.9453e+005
44,2,186.7,4.7032e+005
44,3,97.385,1.1292e+006
44,4,28.379,4.4716e+006
45,1,377.46,1.9013e+005
45,2,200.23,4.735e+005
45,3,107.35,1.2871e+006
45,4,29.463,5.2396e+006
46,1,414.69,1.914e+005
46,2,215.65,4.7224e+005
46,3,111.88,1.2393e+006
46,4,30.709,5.0714e+006
47,1,424.36,1.9673e+005
47,2,215.66,4.9138e+005
47,3,111.21,1.2238e+006
47,4,31.027,4.9612e+006
48,1,408.66,1.8756e+005
48,2,209.15,4.7069e+005
48,3,108.4,1.2097e+006
48,4,30.204,4.9742e+006
49,1,372.92,1.896e+005
49,2,197.74,4.6565e+005
49,3,106.67,1.1932e+006
49,4,29.19,5.0196e+006
50,1,397.15,1.9222e+005
50,2,207.51,4.8276e+005
50,3,110.86,1.2265e+006
50,4,30.426,5.1263e+006
51,1,387.8,1.7247e+005
51,2,197.82,4.3015e+005
51,3,101.77,1.1114e+006
51,4,28.808,4.5337e+006
52,1,382.44,1.8605e+005
52,2,202.23,4.5633e+005
52,3,106.45,1.2031e+006
52,4,29.173,5.0898e+006
53,1,412.45,1.9493e+005
53,2,212.56,4.9298e+005
53,3,111.88,1.2317e+006
53,4,30.413,5.1324e+006
54,1,367.69,1.644e+005
54,2,185.8,4.0458e+005
54,3,95.953,1.0364e+006
54,4,27.787,4.237e+006
55,1,346.66,1.6315e+005
55,2,174.88,3.9833e+005
55,3,89.074,1.004e+006
55,4,26.143,3.946e+006
56,1,353.84,1.8134e+005
56,2,178.11,4.4373e+005
56,3,93.539,1.0524e+006
56,4,27.268,4.2094e+006
57,1,403.17,1.7495e+005
57,2,206.31,4.4625e+005
57,3,106.98,1.1394e+006
57,4,30.212,4.6949e+006
58,1,328.85,1.6298e+005
58,2,170.16,3.9749e+005
58,3,90.176,1.0366e+006
58,4,27.336,4.2344e+006
59,1,373.05,1.7351e+005
59,2,196.22,4.261e+005
59,3,104.23,1.1589e+006
59,4,29.096,4.8922e+006
60,1,389.06,1.955e+005
60,2,202.12,4.8746e+005
60,3,106.49,1.2609e+006
60,4,29.968,5.105e+006
61,1,391.55,1.8778e+005
61,2,200.97,4.7724e+005
61,3,107.54,1.1956e+006
61,4,30.194,5.0343e+006
62,1,393.4,1.817e+005
62,2,200.31,4.6458e+005
62,3,106.81,1.145e+006
62,4,29.845,4.7667e+006
63,1,397.26,57168
63,2,205.89,1.9267e+005
63,3,103.02,7.8986e+005
63,4,27.224,3.9246e+006
64,1,123.47,84656
64,2,69.4,1.6423e+005
64,3,41.277,4.3692e+005
64,4,16.241,1.8115e+006
65,1,123.61,85792
65,2,65.018,1.6199e+005
