GOP,layer, Y-PSNR, bits
317,5,37.386,15328
317,6,38.571,20474
317,7,39.731,25365
317,8,40.760,30696
318,1,33.150,10556
318,2,34.015,6188
318,3,35.220,9488
318,4,36.503,11833
318,5,37.557,13970
318,6,38.713,18850
318,7,39.876,23459
318,8,40.931,28528
319,1,33.257,9936
319,2,34.126,6122
319,3,35.300,8979
319,4,36.565,11361
319,5,37.648,13784
319,6,38.792,17976
319,7,39.956,22275
319,8,40.980,26732
320,1,33.910,9382
320,2,34.727,4452
320,3,35.894,7176
320,4,37.120,8816
320,5,38.186,11179
320,6,39.318,14852
320,7,40.484,18829
320,8,41.533,23451
321,1,35.511,10209
321,2,36.269,4693
321,3,37.503,7172
321,4,38.679,8568
321,5,39.650,10710
321,6,40.713,14050
321,7,41.853,17442
321,8,42.896,21249
322,1,35.541,10075
322,2,36.317,4619
322,3,37.529,6989
322,4,38.683,8469
322,5,39.647,10583
322,6,40.719,14009
322,7,41.852,17132
322,8,42.884,20819
323,1,35.490,11986
323,2,36.254,5297
323,3,37.437,7885
323,4,38.609,9647
323,5,39.592,12196
323,6,40.653,15898
323,7,41.794,19795
323,8,42.864,24493
324,1,35.658,8330
324,2,36.398,4157
324,3,37.628,6218
324,4,38.791,7403
324,5,39.762,9271
324,6,40.788,12127
324,7,41.914,15042
324,8,42.900,18145
325,1,35.413,9128
325,2,36.160,4452
325,3,37.373,6597
325,4,38.522,8038
325,5,39.504,10038
325,6,40.577,13340
325,7,41.729,16251
325,8,42.763,19571
326,1,35.258,9475
326,2,35.980,4797
326,3,36.964,7223
326,4,38.023,9395
326,5,38.998,11960
326,6,40.130,15787
326,7,41.297,19868
326,8,42.453,24206
327,1,35.395,9054
327,2,36.159,4652
327,3,37.131,7006
327,4,38.165,9095
327,5,39.135,11456
327,6,40.282,15397
327,7,41.388,18871
327,8,42.522,23125
328,1,35.402,10047
328,2,36.143,5071
328,3,37.115,7624
328,4,38.158,9802
328,5,39.151,12473
328,6,40.243,16051
328,7,41.378,20035
328,8,42.516,24536
329,1,35.340,9476
329,2,36.133,4888
329,3,37.122,7317
329,4,38.177,9247
329,5,39.147,11763
329,6,40.277,15548
329,7,41.430,19363
329,8,42.548,23502
330,1,35.384,8466
330,2,36.131,4452
330,3,37.107,6781
330,4,38.152,8620
330,5,39.135,11156
330,6,40.257,14690
330,7,41.403,18769
330,8,42.535,22837
331,1,35.496,8324
331,2,36.265,4406
331,3,37.214,6582
331,4,38.283,8581
331,5,39.240,10766
331,6,40.331,14116
331,7,41.471,18308
331,8,42.571,21651
332,1,36.026,6358
332,2,36.741,3378
332,3,37.681,5179
332,4,38.751,6831
332,5,39.681,8673
332,6,40.779,11853
332,7,41.853,14754
332,8,42.973,19137
333,1,39.249,4581
333,2,39.725,2445
333,3,40.457,3563
333,4,41.239,4231
333,5,41.972,5565
333,6,42.917,7715
333,7,43.720,9506
333,8,44.745,12739
334,1,38.137,9694
334,2,38.728,4886
334,3,39.509,6776
334,4,40.378,8630
334,5,41.279,11162
334,6,42.277,14587
334,7,43.134,17853
334,8,44.334,24426
335,1,38.287,8114
335,2,38.854,4269
335,3,39.661,5782
335,4,40.550,7154
335,5,41.375,9087
335,6,42.324,12105
335,7,43.212,15073
335,8,44.343,20302
336,1,39.615,5199
336,2,40.056,2534
336,3,40.685,3888
336,4,41.414,4770
336,5,42.084,5708
336,6,42.986,7586
336,7,43.791,9327
336,8,44.877,11674
337,1,37.211,4582
337,2,37.884,2744
337,3,38.962,4313
337,4,40.066,5314
337,5,41.011,6589
337,6,42.051,8755
337,7,43.034,10790
337,8,43.971,13215
338,1,36.522,6915
338,2,37.258,4047
338,3,38.332,6335
338,4,39.463,7886
338,5,40.459,9589
338,6,41.537,12359
338,7,42.546,14545
338,8,43.576,18350
339,1,36.067,8253
339,2,36.827,5057
339,3,37.909,7452
339,4,39.058,9242
339,5,40.112,11231
339,6,41.227,14767
339,7,42.319,17377
339,8,43.347,21229
340,1,35.784,10325
340,2,36.536,5567
340,3,37.584,8435
340,4,38.794,10644
340,5,39.882,12962
340,6,41.035,16525
340,7,42.133,19546
340,8,43.181,23829
341,1,35.765,10114
341,2,36.569,5744
341,3,37.681,8319
341,4,38.826,10333
341,5,39.894,12366
341,6,41.062,16097
341,7,42.141,18651
341,8,43.191,22993
342,1,35.645,9964
342,2,36.441,5601
342,3,37.583,8410
342,4,38.817,10439
342,5,39.914,12563
342,6,41.065,15678
342,7,42.146,18487
342,8,43.168,22520
343,1,35.408,11844
343,2,36.201,6189
343,3,37.343,9292
343,4,38.579,11268
343,5,39.713,13616
343,6,40.885,17174
343,7,41.971,19876
343,8,43.055,25210
344,1,35.176,13733
344,2,35.964,6800
344,3,37.089,10185
344,4,38.280,12957
344,5,39.386,15452
344,6,40.577,19778
344,7,41.695,23221
344,8,42.794,28366
345,1,35.381,15702
345,2,36.148,7089
345,3,37.194,10662
345,4,38.407,13683
345,5,39.547,16640
345,6,40.719,20603
345,7,41.884,24581
345,8,43.050,30966
346,1,34.959,18244
346,2,35.733,8262
346,3,36.821,12291
346,4,38.028,15828
346,5,39.186,19195
346,6,40.327,23621
346,7,41.498,28842
346,8,42.688,36447
347,1,35.014,13944
347,2,35.820,7203
347,3,36.946,10741
347,4,38.131,13335
347,5,39.252,16135
347,6,40.441,20976
347,7,41.600,24319
347,8,42.678,30397
348,1,35.047,14127
348,2,35.824,7115
348,3,36.919,10545
348,4,38.150,13508
348,5,39.285,16224
348,6,40.397,20322
348,7,41.536,24490
348,8,42.653,30921
349,1,34.936,15844
349,2,35.674,7376
349,3,36.785,11236
349,4,38.027,14613
349,5,39.146,17546
349,6,40.316,22210
349,7,41.434,26021
349,8,42.582,33477
350,1,35.223,14183
350,2,35.915,6226
350,3,36.947,9466
350,4,38.120,12394
350,5,39.222,15470
350,6,40.415,20520
350,7,41.526,24229
350,8,42.748,30881
351,1,36.161,11071
351,2,36.888,5600
351,3,37.942,8529
351,4,39.083,10915
351,5,40.202,13968
351,6,41.384,18148
351,7,42.508,21705
351,8,43.745,27243
352,1,36.700,10054
352,2,37.393,5058
352,3,38.383,7454
352,4,39.531,9694
352,5,40.584,12238
352,6,41.704,15900
352,7,42.784,19136
352,8,44.018,24264
353,1,35.904,13204
353,2,36.652,6141
353,3,37.688,9430
353,4,38.828,11772
353,5,39.914,15145
353,6,41.012,19887
353,7,42.164,24265
353,8,43.418,30437
354,1,35.860,13063
354,2,36.549,6117
354,3,37.568,9605
354,4,38.616,12333
354,5,39.666,16099
354,6,40.757,20919
354,7,41.845,25871
354,8,43.066,32104
355,1,35.621,12531
355,2,36.284,6163
355,3,37.224,9373
355,4,38.291,12156
355,5,39.241,15225
355,6,40.311,20388
355,7,41.369,25499
355,8,42.526,31284
356,1,35.169,12624
356,2,35.900,6590
356,3,36.971,10318
356,4,38.052,13087
356,5,39.011,16510
356,6,40.040,22193
356,7,41.121,27681
356,8,42.273,34983
357,1,35.752,11949
357,2,36.574,5990
357,3,37.585,8865
357,4,38.674,11356
357,5,39.673,14675
357,6,40.725,19465
357,7,41.796,23794
357,8,42.931,30020
358,1,35.615,12103
358,2,36.267,6004
358,3,37.262,9213
358,4,38.332,11907
358,5,39.363,15650
358,6,40.403,20341
358,7,41.469,25594
358,8,42.585,32230
359,1,36.122,11827
359,2,36.930,5646
359,3,37.978,8290
359,4,39.062,10121
359,5,40.026,12516
359,6,41.172,17565
359,7,42.335,21566
359,8,43.525,25087
360,1,36.123,6792
360,2,37.023,3983
360,3,38.114,5793
360,4,39.273,7222
360,5,40.258,8851
360,6,41.434,12540
360,7,42.586,15586
360,8,43.760,19802
361,1,36.072,7187
361,2,36.955,4203
361,3,38.019,6026
361,4,39.151,7595
361,5,40.194,9604
361,6,41.427,13221
361,7,42.547,16310
361,8,43.668,20570
362,1,36.041,7000
362,2,36.942,4203
362,3,38.059,6052
362,4,39.220,7863
362,5,40.264,9771
362,6,41.409,13220
362,7,42.528,16638
362,8,43.630,20747
363,1,36.034,6894
363,2,36.947,4047
363,3,38.069,5966
363,4,39.175,7260
363,5,40.163,9171
363,6,41.324,12906
363,7,42.484,16361
363,8,43.604,20255
364,1,35.973,7339
364,2,36.830,4095
364,3,37.914,6148
364,4,39.055,7364
364,5,40.084,9631
364,6,41.265,12835
364,7,42.502,16343
364,8,43.674,19982
365,1,34.251,18279
365,2,35.040,8136
365,3,36.124,12423
365,4,37.283,15634
365,5,38.476,19209
365,6,39.665,24982
365,7,40.913,30545
365,8,42.138,35481
366,1,33.817,15413
366,2,34.619,7896
366,3,35.723,12057
366,4,36.857,15226
366,5,37.946,18870
366,6,39.122,24776
366,7,40.389,31775
366,8,41.628,37895
367,1,34.143,11432
367,2,35.023,6352
367,3,36.091,9216
367,4,37.288,11990
367,5,38.364,14934
367,6,39.532,19686
367,7,40.790,25091
367,8,42.043,30539
368,1,34.264,13887
368,2,35.096,6541
368,3,36.253,10056
368,4,37.489,12287
368,5,38.601,15294
368,6,39.878,20018
368,7,41.239,24811
368,8,42.567,28925
369,1,34.010,17725
369,2,34.814,7673
369,3,35.967,12160
369,4,37.180,15501
369,5,38.299,18819
369,6,39.558,24163
369,7,40.898,29990
369,8,42.251,35987
370,1,34.858,9870
370,2,35.652,4951
370,3,36.781,7754
370,4,37.979,9832
370,5,39.033,12034
370,6,40.242,15742
370,7,41.513,19810
370,8,42.756,24165
371,1,35.919,13147
371,2,36.588,5918
371,3,37.574,8696
371,4,38.654,11472
371,5,39.724,14477
371,6,40.871,18945
371,7,42.056,23082
371,8,43.360,29289
372,1,35.728,14574
372,2,36.490,7062
372,3,37.604,10787
372,4,38.777,13736
372,5,39.974,17324
372,6,41.189,22206
372,7,42.488,27092
372,8,43.956,32512
373,1,36.120,12001
373,2,37.114,5550
373,3,38.226,8299
373,4,39.597,10917
373,5,41.113,13362
373,6,42.587,17309
373,7,43.916,20590
373,8,46.222,25376
374,1,35.435,17780
374,2,36.388,8214
374,3,37.581,11503
374,4,38.931,14778
374,5,40.136,17805
374,6,41.348,22666
374,7,42.528,27180
374,8,44.273,32541
375,1,34.417,16613
375,2,35.239,7488
375,3,36.360,10803
375,4,37.549,13568
375,5,38.598,16764
375,6,39.780,22014
375,7,41.005,26842
375,8,42.328,32156
376,1,34.269,19476
376,2,35.116,7724
376,3,36.267,11628
376,4,37.561,14824
376,5,38.775,18159
376,6,40.126,22541
376,7,41.611,27522
376,8,43.125,30992
377,1,34.165,19618
377,2,35.003,8411
377,3,36.103,12687
377,4,37.319,15845
377,5,38.536,20311
377,6,39.783,25578
377,7,41.193,32837
377,8,42.644,38190
378,1,33.398,24788
378,2,34.213,10276
378,3,35.311,15679
378,4,36.577,20431
378,5,37.761,24860
378,6,39.095,32203
378,7,40.540,39518
378,8,42.072,47303
379,1,33.447,25052
379,2,34.284,10763
379,3,35.442,16111
379,4,36.730,20700
379,5,37.976,25786
379,6,39.323,32579
379,7,40.745,39963
379,8,42.273,47180
380,1,34.407,22477
380,2,35.227,9186
380,3,36.310,13870
380,4,37.549,17987
380,5,38.797,22475
380,6,40.078,27979
380,7,41.486,34676
380,8,43.014,41040
381,1,35.078,18593
381,2,35.867,7971
381,3,36.933,12076
381,4,38.150,15633
381,5,39.406,19620
381,6,40.706,24723
381,7,42.111,30276
381,8,43.669,35536
382,1,35.760,15479
382,2,36.558,7103
382,3,37.548,10159
382,4,38.769,13651
382,5,40.037,17167
382,6,41.288,21259
382,7,42.644,26667
382,8,44.166,31309
383,1,37.163,12245
383,2,37.906,5305
383,3,38.906,7868
383,4,40.051,10234
383,5,41.219,12540
383,6,42.477,16408
383,7,43.706,19725
383,8,45.248,23789
384,1,37.466,11997
384,2,38.190,5169
384,3,39.270,7625
384,4,40.369,9512
384,5,41.594,12291
384,6,42.777,14939
384,7,44.003,18392
384,8,45.533,21721
385,1,37.488,12637
385,2,38.120,4817
385,3,39.141,7642
385,4,40.332,9812
385,5,41.490,12181
385,6,42.709,14978
385,7,43.937,18304
385,8,45.464,21328
386,1,37.087,15043
386,2,37.738,5739
386,3,38.725,8745
386,4,39.899,11349
386,5,41.057,13943
386,6,42.307,17384
386,7,43.528,21113
386,8,45.016,24649
387,1,37.207,16034
387,2,37.895,5912
387,3,38.869,8793
387,4,40.010,11227
387,5,41.228,14067
387,6,42.408,16942
387,7,43.666,21015
387,8,45.194,24450
388,1,37.682,16049
388,2,38.427,6008
388,3,39.502,8817
388,4,40.743,11191
388,5,42.054,14082
388,6,43.355,16918
388,7,44.812,20445
388,8,46.383,23755
389,1,36.242,19712
389,2,36.950,7507
389,3,38.037,11493
389,4,39.261,14719
389,5,40.530,17921
389,6,41.843,22392
389,7,43.297,27188
389,8,44.822,31273
390,1,35.895,19795
390,2,36.634,7661
390,3,37.700,11389
390,4,38.959,14988
390,5,40.255,18053
390,6,41.580,22129
390,7,43.034,26993
390,8,44.581,31281
391,1,39.655,11539
391,2,40.396,4409
391,3,41.424,6305
391,4,42.773,8174
391,5,44.018,9682
391,6,45.296,11796
391,7,46.690,14324
391,8,48.224,16926
392,1,38.707,15156
392,2,39.402,5327
392,3,40.431,8189
392,4,41.688,10347
392,5,42.955,12721
392,6,44.161,15126
392,7,45.531,19022
392,8,47.081,22451
393,1,37.147,14041
393,2,37.865,5598
393,3,38.909,8558
393,4,40.072,10850
393,5,41.242,13331
393,6,42.509,17266
393,7,43.852,20510
393,8,45.248,24380
394,1,36.817,15549
394,2,37.471,6036
394,3,38.529,9199
394,4,39.712,12013
394,5,40.862,14703
394,6,42.030,18678
394,7,43.371,22876
394,8,44.980,27618
395,1,37.777,13161
395,2,38.507,5766
395,3,39.493,8041
395,4,40.655,10014
395,5,41.820,12561
395,6,43.006,15458
395,7,44.173,19175
395,8,45.676,22618
396,1,38.893,6675
396,2,39.461,3335
396,3,40.453,4870
396,4,41.513,6004
396,5,42.440,7151
396,6,43.585,9803
396,7,44.700,12192
396,8,46.035,14352
397,1,38.642,7627
397,2,39.258,3636
397,3,40.244,5437
397,4,41.308,6740
397,5,42.311,8277
397,6,43.416,10994
397,7,44.464,13394
397,8,45.817,16264
398,1,38.729,6879
398,2,39.325,3429
398,3,40.276,5024
398,4,41.331,6234
398,5,42.235,7534
398,6,43.297,10102
398,7,44.367,13078
398,8,45.566,15113
399,1,38.111,8061
399,2,38.766,3925
399,3,39.716,5847
399,4,40.759,7229
399,5,41.739,9024
399,6,42.819,11851
399,7,43.922,14978
399,8,45.123,17510
400,1,36.992,11718
400,2,37.619,5179
400,3,38.617,8140
400,4,39.730,9904
400,5,40.761,12653
400,6,41.850,16435
400,7,42.961,20223
400,8,44.241,24705
401,1,36.313,14002
401,2,37.035,6203
401,3,38.120,9630
401,4,39.161,11890
401,5,40.229,15232
401,6,41.350,19772
401,7,42.541,24469
401,8,43.849,29197
402,1,35.899,16759
402,2,36.723,7717
402,3,37.764,11205
402,4,38.950,14513
402,5,40.079,17876
402,6,41.217,23065
402,7,42.381,28128
402,8,43.696,33149
403,1,36.050,16621
403,2,36.857,7343
403,3,37.937,10881
403,4,39.092,13825
403,5,40.237,17045
403,6,41.401,21600
403,7,42.562,26173
403,8,43.897,31806
404,1,43.011,4448
404,2,43.434,1874
404,3,43.967,2656
404,4,44.555,3235
404,5,45.214,4064
404,6,46.098,5642
404,7,46.879,6643
404,8,48.223,7667
405,1,36.512,15996
405,2,37.191,6256
405,3,38.197,9927
405,4,39.274,12602
405,5,40.399,16136
405,6,41.606,20717
405,7,42.889,25640
405,8,44.308,30746
406,1,36.323,16143
406,2,36.972,6317
406,3,37.951,10041
406,4,39.059,12982
406,5,40.252,16836
406,6,41.456,21035
406,7,42.706,25990
406,8,44.123,31706
407,1,36.065,17041
407,2,36.730,6622
407,3,37.723,10349
407,4,38.832,13247
407,5,39.991,17154
407,6,41.262,22039
407,7,42.544,26724
407,8,43.928,31872
408,1,36.469,15245
408,2,37.081,5798
408,3,38.098,9531
408,4,39.206,12332
408,5,40.409,15856
408,6,41.612,19935
408,7,42.907,24737
408,8,44.264,29848
409,1,36.823,13029
409,2,37.451,5218
409,3,38.405,8248
409,4,39.455,10709
409,5,40.553,13692
409,6,41.774,17917
409,7,43.036,22346
409,8,44.378,26951
410,1,36.749,14179
410,2,37.408,5411
410,3,38.378,8221
410,4,39.387,10514
410,5,40.525,14199
410,6,41.724,17713
410,7,43.002,22234
410,8,44.370,26295
411,1,37.386,11021
411,2,38.111,5023
411,3,39.173,7584
411,4,40.313,9629
411,5,41.413,11884
411,6,42.618,15727
411,7,43.820,19120
411,8,45.464,24036
412,1,34.823,22924
412,2,35.550,8981
412,3,36.594,13997
412,4,37.752,18028
412,5,38.939,22491
412,6,40.166,28290
412,7,41.424,34711
412,8,42.978,43184
413,1,36.463,13181
413,2,37.182,5172
413,3,38.243,8212
413,4,39.467,10289
413,5,40.665,12792
413,6,42.048,16173
413,7,43.501,19939
413,8,45.075,22563
414,1,36.288,14425
414,2,36.958,5633
414,3,38.038,9012
414,4,39.264,11306
414,5,40.547,14125
414,6,41.903,17295
414,7,43.315,21012
414,8,44.902,24089
415,1,36.359,15161
415,2,37.018,5859
415,3,38.116,9105
415,4,39.319,11523
415,5,40.560,14352
415,6,41.954,17959
415,7,43.412,21673
415,8,44.962,24428
416,1,36.538,13363
416,2,37.246,5672
416,3,38.299,8592
416,4,39.439,10396
416,5,40.584,12880
416,6,41.834,16136
416,7,43.212,20015
416,8,44.844,23430
417,1,37.821,8786
417,2,38.446,4233
417,3,39.410,6441
417,4,40.493,8023
417,5,41.535,10379
417,6,42.665,13914
417,7,43.741,16314
417,8,45.179,20673
418,1,38.035,8420
418,2,38.708,4047
418,3,39.618,5871
418,4,40.641,7613
418,5,41.710,9482
418,6,42.847,12572
418,7,43.891,15378
418,8,45.361,19338
419,1,37.787,8475
419,2,38.451,4264
419,3,39.465,6419
419,4,40.718,8278
419,5,41.707,10029
419,6,42.828,13182
419,7,43.933,16297
419,8,45.322,20060
420,1,39.390,6996
420,2,40.011,3505
420,3,40.908,4961
420,4,42.038,6508
420,5,43.136,8093
420,6,44.194,10162
420,7,45.192,12383
420,8,46.726,15991
421,1,37.433,11059
421,2,38.172,5276
421,3,39.105,7555
421,4,40.236,10072
421,5,41.225,12088
421,6,42.257,16824
421,7,43.337,20454
421,8,44.789,25206
422,1,36.135,23478
422,2,36.858,8879
422,3,37.926,13593
422,4,39.113,17679
422,5,40.239,22330
422,6,41.330,27979
422,7,42.429,34263
422,8,43.806,42473
423,1,34.839,28961
423,2,35.566,10239
423,3,36.529,15216
423,4,37.703,20711
423,5,38.862,26665
423,6,39.979,33524
423,7,41.135,41839
423,8,42.600,53376
424,1,36.177,18398
424,2,36.878,7702
424,3,37.893,11602
424,4,39.023,14567
424,5,40.162,18259
424,6,41.332,23462
424,7,42.487,28213
424,8,43.953,35097
425,1,36.286,17726
425,2,36.947,7333
425,3,37.882,10737
425,4,39.031,13945
425,5,40.231,18026
425,6,41.358,22075
425,7,42.592,27548
425,8,44.012,33343
426,1,36.026,18627
426,2,36.664,7367
426,3,37.696,11298
426,4,38.859,14395
426,5,40.009,18035
426,6,41.174,22838
426,7,42.411,28200
426,8,43.738,33800
427,1,36.436,19663
427,2,37.104,7629
427,3,38.109,11393
427,4,39.249,14497
427,5,40.413,18546
427,6,41.524,22724
427,7,42.694,28453
427,8,44.094,34086
428,1,36.506,16902
428,2,37.226,6809
428,3,38.242,10264
428,4,39.341,12989
428,5,40.462,16538
428,6,41.576,20625
428,7,42.733,25912
428,8,44.067,31437
429,1,36.384,22141
429,2,37.134,8547
429,3,38.084,12614
429,4,39.172,16160
429,5,40.308,20468
429,6,41.387,25330
429,7,42.537,31948
429,8,43.977,39524
430,1,36.567,15436
430,2,37.195,6114
430,3,38.164,9617
430,4,39.258,12363
430,5,40.402,15813
430,6,41.516,20047
430,7,42.680,24752
430,8,44.038,30386
431,1,35.993,15602
431,2,36.644,6402
431,3,37.651,9991
431,4,38.819,13121
431,5,39.959,16692
431,6,41.143,21047
431,7,42.304,25384
431,8,43.676,31526
432,1,36.339,8940
432,2,37.057,4539
432,3,37.994,6744
432,4,39.031,8710
432,5,40.054,10838
432,6,41.233,14530
432,7,42.351,18165
432,8,43.586,22624
433,1,36.205,8997
433,2,36.918,4341
433,3,37.916,6869
433,4,38.975,8750
433,5,40.023,11132
433,6,41.218,14792
433,7,42.344,18218
433,8,43.592,22413
434,1,36.296,8823
434,2,37.025,4485
434,3,38.015,6339
434,4,39.053,8293
434,5,40.061,10341
434,6,41.215,14109
434,7,42.344,17708
434,8,43.544,22069
435,1,36.268,8054
435,2,37.032,4000
435,3,38.073,6203
435,4,39.083,7735
435,5,40.051,9894
435,6,41.198,13480
435,7,42.340,17168
435,8,43.512,21243
436,1,36.222,8608
436,2,36.964,4205
436,3,37.949,6242
436,4,39.017,8404
436,5,40.030,10485
436,6,41.157,14197
436,7,42.297,17878
436,8,43.523,22059
437,1,36.309,8154
437,2,37.041,3962
437,3,37.990,5942
437,4,39.025,7736
437,5,40.068,10085
437,6,41.222,13553
437,7,42.345,16586
437,8,43.551,20949
438,1,36.436,7758
438,2,37.186,3867
438,3,38.144,5741
438,4,39.174,7503
438,5,40.176,9438
438,6,41.337,12864
438,7,42.456,16355
438,8,43.658,20514
439,1,34.626,11112
439,2,35.428,5529
439,3,36.473,8775
439,4,37.548,11262
439,5,38.516,13571
439,6,39.651,18516
439,7,40.841,23652
439,8,42.000,28142
440,1,32.037,8740
440,2,32.916,4341
440,3,34.050,6854
440,4,35.225,8586
440,5,36.193,10106
440,6,37.336,13555
440,7,38.601,16919
440,8,39.697,18634
441,1,32.292,8529
441,2,33.162,4074
441,3,34.312,6522
441,4,35.489,8221
441,5,36.434,9694
441,6,37.557,13109
441,7,38.820,16388
441,8,39.909,18211
442,1,32.310,8603
442,2,33.179,4171
442,3,34.335,6638
442,4,35.521,8556
442,5,36.469,9912
442,6,37.596,13436
442,7,38.854,16621
442,8,39.940,18506
443,1,33.054,11995
443,2,33.880,5429
443,3,34.984,8485
443,4,36.140,10893
443,5,37.102,13369
443,6,38.241,18208
443,7,39.462,22240
443,8,40.603,26781
444,1,32.746,14848
444,2,33.586,7048
444,3,34.717,10956
444,4,35.868,13650
444,5,36.853,16940
444,6,38.004,22286
444,7,39.236,27211
444,8,40.361,31927
445,1,32.500,12663
445,2,33.340,6105
445,3,34.472,9834
445,4,35.599,12615
445,5,36.557,15457
445,6,37.678,20781
445,7,38.903,25915
445,8,40.021,30842
446,1,32.454,15031
446,2,33.278,6921
446,3,34.403,10848
446,4,35.546,14101
446,5,36.531,17078
446,6,37.634,22685
446,7,38.860,28384
446,8,39.982,33987
447,1,32.742,17896
447,2,33.579,8446
447,3,34.660,13117
447,4,35.787,16853
447,5,36.763,20879
447,6,37.842,27515
447,7,38.988,33981
447,8,40.108,43014
448,1,32.392,22480
448,2,33.204,9830
448,3,34.306,15351
448,4,35.439,20070
448,5,36.400,24258
448,6,37.502,32460
448,7,38.661,39700
448,8,39.784,50194
449,1,32.156,20722
449,2,32.948,9270
449,3,34.071,14846
449,4,35.207,19276
449,5,36.220,24083
449,6,37.312,31077
449,7,38.505,38643
449,8,39.659,47697
450,1,32.251,16533
450,2,33.059,7757
450,3,34.166,12336
450,4,35.310,16093
450,5,36.285,19603
450,6,37.404,26258
450,7,38.579,32010
450,8,39.699,39618
451,1,32.567,15112
451,2,33.399,7765
451,3,34.518,12006
451,4,35.649,15131
451,5,36.618,18781
451,6,37.689,24548
451,7,38.860,30895
451,8,39.944,37456
452,1,32.671,11476
452,2,33.537,6128
452,3,34.652,9326
452,4,35.784,12001
452,5,36.747,14818
452,6,37.840,19631
452,7,39.022,24522
452,8,40.067,29272
453,1,32.437,14593
453,2,33.279,7390
453,3,34.379,11750
453,4,35.507,15396
453,5,36.459,18621
453,6,37.556,25150
453,7,38.708,30954
453,8,39.780,37895
454,1,32.602,12391
454,2,33.458,6592
454,3,34.600,10395
454,4,35.740,13172
454,5,36.699,15895
454,6,37.792,21368
454,7,38.970,26742
454,8,40.028,32190
455,1,32.610,14359
455,2,33.436,7200
455,3,34.546,11171
455,4,35.675,14288
455,5,36.615,17075
455,6,37.724,23238
455,7,38.913,29107
455,8,39.990,35312
456,1,32.995,14319
456,2,33.758,6549
456,3,34.835,10419
456,4,35.940,13453
456,5,36.881,16641
456,6,38.025,22523
456,7,39.191,27533
456,8,40.314,34327
457,1,36.356,7632
457,2,37.031,4306
457,3,37.991,6210
457,4,39.121,8212
457,5,40.136,10018
457,6,41.317,13970
457,7,42.380,15914
457,8,43.564,20194
458,1,39.347,4579
458,2,39.965,2872
458,3,40.986,4226
458,4,41.903,5204
458,5,42.929,6889
458,6,43.982,9356
458,7,44.977,10838
458,8,46.400,14108
459,1,35.680,10202
459,2,36.400,4856
459,3,37.366,7891
459,4,38.389,10338
459,5,39.377,12632
459,6,40.440,17020
459,7,41.537,21406
459,8,42.658,25537
460,1,32.202,12533
460,2,33.063,7368
460,3,34.143,11366
460,4,35.253,14651
460,5,36.210,17902
460,6,37.282,24349
460,7,38.384,31516
460,8,39.398,39293
461,1,31.934,18406
461,2,32.719,9241
461,3,33.774,14368
461,4,34.886,19159
461,5,35.875,23697
461,6,36.968,31524
461,7,38.063,40088
461,8,39.100,50267
462,1,31.795,23574
462,2,32.624,10823
462,3,33.674,17053
462,4,34.788,22328
462,5,35.751,26760
462,6,36.865,36089
462,7,38.047,44828
462,8,39.135,52825
463,1,31.404,16934
463,2,32.180,8211
463,3,33.253,13645
463,4,34.433,18957
463,5,35.462,24297
463,6,36.627,33242
463,7,37.847,42640
463,8,39.046,55937
464,1,31.718,34300
464,2,32.389,14868
464,3,33.352,24991
464,4,34.374,33203
464,5,35.394,43579
464,6,36.435,57096
464,7,37.535,71459
464,8,38.815,94517
465,1,32.150,21648
465,2,32.868,10731
465,3,33.808,16779
465,4,34.814,22700
465,5,35.683,28575
465,6,36.690,39958
465,7,37.812,50094
465,8,38.877,63548
466,1,31.827,20234
466,2,32.593,11053
466,3,33.613,16821
466,4,34.714,22416
466,5,35.705,27995
466,6,36.808,37925
466,7,37.933,47578
466,8,39.054,60484
467,1,31.882,38750
467,2,32.548,16861
467,3,33.446,27226
467,4,34.502,37053
467,5,35.541,46060
467,6,36.620,60802
467,7,37.734,74722
467,8,39.051,98018
468,1,29.677,47153
468,2,30.371,20644
468,3,31.346,34325
468,4,32.401,47338
468,5,33.390,58755
468,6,34.438,78648
468,7,35.546,98609
468,8,36.730,125985
469,1,28.619,50895
469,2,29.388,24030
469,3,30.495,40086
469,4,31.662,53977
469,5,32.793,67065
469,6,34.009,87968
469,7,35.294,109916
469,8,36.589,132731
470,1,29.182,53428
470,2,29.868,23081
470,3,30.917,38598
470,4,32.005,51656
470,5,33.080,64341
470,6,34.234,85409
470,7,35.491,107246
470,8,36.772,131584
471,1,29.222,50162
471,2,29.927,22906
471,3,30.925,37306
471,4,32.032,51153
471,5,33.108,64061
471,6,34.276,85258
471,7,35.516,105712
471,8,36.813,131365
472,1,32.277,32536
472,2,33.004,14095
472,3,34.018,22479
472,4,35.143,30444
472,5,36.287,38658
472,6,37.379,49071
472,7,38.549,60937
472,8,39.911,79303
473,1,32.786,45459
473,2,33.505,16870
473,3,34.491,27635
473,4,35.695,37436
473,5,36.925,47063
473,6,38.114,59632
473,7,39.368,73909
473,8,40.984,93372
474,1,29.304,75311
474,2,29.952,29979
474,3,30.940,51694
474,4,32.076,69449
474,5,33.264,88911
474,6,34.426,111914
474,7,35.680,137680
474,8,37.242,176553
475,1,28.145,107044
475,2,28.864,41452
475,3,29.882,68379
475,4,31.111,94462
475,5,32.340,116308
475,6,33.514,144390
475,7,34.814,178288
475,8,36.343,220019
476,1,28.930,69825
476,2,29.607,28792
476,3,30.604,48801
