GOP,layer, Y-PSNR, bits
63,1,28.246,42666
63,2,29.215,23537
63,3,30.405,36106
63,4,31.713,48148
63,5,32.980,57898
63,6,34.400,72187
63,7,35.954,86827
63,8,37.441,99501
64,1,28.354,39479
64,2,29.287,21768
64,3,30.493,34682
64,4,31.788,45844
64,5,33.022,54812
64,6,34.458,70356
64,7,36.017,84288
64,8,37.477,96414
65,1,28.400,38798
65,2,29.343,21658
65,3,30.534,33992
65,4,31.831,44604
65,5,33.078,54571
65,6,34.492,68907
65,7,36.028,83009
65,8,37.500,95901
66,1,28.388,40092
66,2,29.351,22609
66,3,30.529,34886
66,4,31.835,46583
66,5,33.079,56120
66,6,34.507,70559
66,7,36.054,84622
66,8,37.532,96572
67,1,28.461,38715
67,2,29.412,21394
67,3,30.598,33894
67,4,31.896,44614
67,5,33.147,54417
67,6,34.553,68871
67,7,36.098,82789
67,8,37.580,95353
68,1,28.655,36005
68,2,29.603,19435
68,3,30.804,30745
68,4,32.100,40630
68,5,33.329,49236
68,6,34.741,63128
68,7,36.288,76613
68,8,37.747,87741
69,1,28.732,33393
69,2,29.710,18698
69,3,30.919,29037
69,4,32.206,37931
69,5,33.426,46264
69,6,34.839,59568
69,7,36.376,71909
69,8,37.823,82999
70,1,28.723,33454
70,2,29.692,18388
70,3,30.897,29026
70,4,32.193,38493
70,5,33.408,46294
70,6,34.823,60224
70,7,36.339,72923
70,8,37.772,84541
71,1,28.689,34411
71,2,29.674,18971
71,3,30.845,29217
71,4,32.150,39275
71,5,33.347,47450
71,6,34.754,62125
71,7,36.268,74600
71,8,37.713,87234
72,1,28.924,29921
72,2,29.919,16264
72,3,31.105,25061
72,4,32.404,33722
72,5,33.589,41253
72,6,34.994,54144
72,7,36.486,66261
72,8,37.901,76987
73,1,28.945,29127
73,2,29.935,15943
73,3,31.133,24903
73,4,32.420,32897
73,5,33.608,40274
73,6,35.015,53526
73,7,36.489,64895
73,8,37.901,76736
74,1,28.894,30499
74,2,29.880,16642
74,3,31.063,25762
74,4,32.339,35313
74,5,33.527,43177
74,6,34.948,57016
74,7,36.451,69442
74,8,37.863,81379
75,1,28.870,17007
75,2,29.847,11963
75,3,31.046,19863
75,4,32.347,27116
75,5,33.570,34522
75,6,34.987,45481
75,7,36.511,56019
75,8,37.926,67444
76,1,35.011,9811
76,2,35.767,4913
76,3,36.814,7478
76,4,37.901,9946
76,5,38.937,12645
76,6,40.030,16739
76,7,41.175,20847
76,8,42.306,26282
77,1,36.069,11164
77,2,36.724,5173
77,3,37.777,8201
77,4,38.805,10584
77,5,39.754,13416
77,6,40.767,17673
77,7,41.809,21724
77,8,42.871,27285
78,1,36.141,9340
78,2,36.821,4819
78,3,37.888,7492
78,4,38.910,9432
78,5,39.884,12048
78,6,40.902,15788
78,7,41.973,19816
78,8,42.988,24394
79,1,36.272,7786
79,2,36.941,4095
79,3,37.960,6331
79,4,39.038,8213
79,5,39.965,10207
79,6,41.019,14235
79,7,42.045,17287
79,8,43.059,22032
80,1,36.435,8041
80,2,37.140,4254
80,3,38.185,6444
80,4,39.250,8233
